# type (r[1-9];w;u),circuit,name,[comment],[QQ],ZZ,PBSB,[ID],field1,part (m/s),datatypes/templates,divider/values,unit,comment,field2,part (m/s),datatypes/templates,divider/values,unit,comment,field3,part (m/s),datatypes/templates,divider/values,unit,comment
#,,CTLV2, sensoCOMFORT VRC 720/2 (SW 0514),,,,,,,,,,
# ##### General #####,,,,,,,,,,,,,
*r,,,,,,B524,02000000,,,IGN:4,,,
*w,,,,,,B524,02010000,,,,,,
r,,HwcBivalencePoint,,,,,0100,,,tempv,,,Bivalence point hot water heating
r;w,,ContinousHeating,continous heating,,,,0200,,,tempv,,,"-26=off, when the outside temperature falls below this threshold temperature the continuous heating function is started (off <=> function is disabled)"
r;w,,FrostOverrideTime,frost delay time,,,,0300,,,hoursum2,,,delay before frost protection is activated
r,,xUnknown04,(constant 0),,,,0400,,,UIN,,,
r;w,,GlobalSystemOff,Global System OFF,,,,0700,,,yesno,,,For switching system off
r,,xUnknown08,(constant off),,,,0800,,,onoff,,,
r,,xUnknown09,"(constant off, on in cooling mode)",,,,0900,,,onoff,,,
r;w,,HwcParallelLoading,hwc parallel loading,,,,0A00,,,onoff,,,heating and hot water parallel
r,,xUnknown0B,(constant 0),,,,0B00,,,SIN,,,
r;w,,MaxRoomHumidity,max room humidity,,,,0E00,,,UIN,,,maximum room humidity
r,,HybridManager,,,,,0F00,,,UCH,0=Trivalence (tariff based);1=Bivalence (Outside temperature based),,Tri/Bi-valence manager
r,,TariffAuxHeater,,,,,1000,,,UIN,, ,Secondary heater tariff value
*r,,,,,,B524,,,,,,,,,,,,,,,,,,,,,,,,,
r,,TariffPrimHeaterLow,,,,,020000001100,tariff type,,UCH,, ,Tariff levels,ignore,,IGN:3,,,,low tariff,,UIN,,,Primary heater low tariff value 
*r,,,,,,B524,02000000,,,IGN:4,,,
*w,,,,,,B524,02010000,,,,,,
r,,TariffPrimHeaterNormal,,,,,1200,,,UIN,, ,Primary heater normal tariff value
r,,xUnknown13,"(constant 0, 2 in cooling mode)",,,,1300,,,UIN,,,
r;w,,AdaptHeatCurve,adaptive heat curve,,,,1400,,,yesno,,,automatic correction of configured heat curve
r,,xUnknown15,"(constant 0, on in cooling mode)",,,,1500,,,onoff,,,
r;w,,HwcMaxChargeTime,maximale hot water charging time,,,,1700,,,minutes2,,,maximum cylinder charging time
r;w,,HwcLockTime,hwc lock time,,,,1800,,,minutes2,,,Lock time hot water current
r;w,,SolarFlowRateQuantity,,,,,1900,,,EXP,,l/min,preset flow rate solar circuit for solar yield calculation
r;w,,PumpAdditionalTime,pump additional time,,,,1B00,,,minutes2,,,chargepump additional operationtime
r,,xUnknown1C,(constant 80),,,,1C00,,,EXP,,,
r,,xUnknown1E,(constant on),,,,1E00,,,onoff,,,
r;w,,HcAlternativePoint,,,,,2200,,,tempv,,,exclusively alternate heating below alternative point (-21=off)
r;w,,HcBivalencePoint,,,,,2300,,,tempv,,,Bivalence point heating
r;w,,BackupBoiler,,,,,2400,,,backmode2,,,Function of back-up boiler (Off/Hc/Hwc/Hc+Hwc)
r,,xUnknown25,(konstant 0),,,,2500,,,SIN,,,
r,,HcEmergencyTemperature,,,,,2600,,,tempv,,,Emergency operation temperature
r;w,,HwcChargeHysteresis,hysteresis cylinder charge,,,,2700,,,calibrationv,,,hysteris storage tank loading
r;w,,HwcChargeOffset,offset cylinder charge,,,,2900,,,calibrationv,,,storage tank loading
r;w,,HwcLegionellaTime,,,,,2A00,,,HTM,,,Time hot water legionella run is scheduled (when HwcLegionellaDay is not 0)
r;w,,HwcLegionellaDay,,,,,2B00,,,daysel2,,,Day hot water legionella run is scheduled
r;w,,MaintenanceDate,next maintenance,,,,2C00,,,date,,,date next maintenance
r;w,,OffsetOutsideTemp,,,,,2D00,,,tempv,,K,Offset outside temperature (used to determined DisplayedOutsideTemp)
r;w,,FM5Config,,,,,2F00,,,UIN,,,FM5 VR71 module configuration (possible range 1-11 for VRC720 and FM5 used values are 1 2 3 and 6)
r,,xUnknown31,"(constant 0, 5 in cooling mode)",,,,3100,,,SIN,,,
r;w,,Date,date,,,,3400,,,date,,,current date
r;w,,Time,time,,,,3500,,,HTI,,,current time
r;w,,HydraulicScheme,system schema,,,,3600,,,UIN,,,system scheme
r;w,,CoolingOutsideTempThreshold,,,,,3800,,,tempv,,,Activate Cooling when average outside temperature exceeds threshold
r,,WaterPressure,water pressure,,,,3900,,,pressv,,,water pressure
r,,DewPointOffset,,,,,3A00,,,tempv,,,Subtract from z1RoomTemp to get dew point
r,,xUnknown3C,(constant 0),,,,3C00,,,onoff,,,
r;w,,SolarYieldTotal,total solar yield,,,,3D00,,,energy4,,,solar yield total
r;w,,YieldTotal,total environmental yield,,,,3E00,,,energy4,,,envrionment yield total
r;w,,ESCOBlockFunction,,,,,4500,,,escomode,,,Function to deactivate when Energy Supply Company sends a blocking signal
r;w,,HwcMaxFlowTempDesired,hwc max flow temp desired,,,,4600,,,tempv,,,maximum flow temperature setpoint of Hwc
r,,xUnknown47,(constant off),,,,4700,,,onoff,,,
r,,xUnknown48,"(constant 1, 0 in standby, 2 in cooling)",,,,4800,,,UIN,,,0100 before SWW run/0300 during SWW run
r,,xUnknown4A,(constant 0),,,,4A00,,,onoff,,,
r,,SystemFlowTemp,system flow temp,,,,4B00,,,tempv,,,system flow temperature
r;w,,MultiRelaySetting,multifunction relay setting,,,,4D00,,,mamode,,,
r;w,,PrFuelSumHcThisMonth,this months fuel consumption heating,,,,4E00,,,energy4,,,current month fuel consumption heating
r;w,,PrEnergySumHcThisMonth,this months energy consumption heating,,,,4F00,,,energy4,,,current month electricity consumption heating
r;w,,PrEnergySumHwcThisMonth,this months energy consumption hot water,,,,5000,,,energy4,,,current month electricity consumption hot water
r;w,,PrFuelSumHwcThisMonth,this months fuel consumption hot water,,,,5100,,,energy4,,,Current Month fuel consumption hot water
r;w,,PrFuelSumHcLastMonth,last months fuel consumption heating,,,,5200,,,energy4,,,last month fuel consumption heating
r;w,,PrEnergySumHcLastMonth,last months energy consumption heating,,,,5300,,,energy4,,,last month electricity consumption heating
r;w,,PrEnergySumHwcLastMonth,last months energy consumption hot water,,,,5400,,,energy4,,,last month electricity consumption hot water
r;w,,PrFuelSumHwcLastMonth,last months fuel consumption hot water,,,,5500,,,energy4,,,last month fuel consumption hot water
r;w,,PrFuelSumHc,total fuel consumption heating,,,,5600,,,energy4,,,total year fuel consumption heating
r;w,,PrEnergySumHc,total energy consumption heating,,,,5700,,,energy4,,,total year electricity consumption heating
r;w,,PrEnergySumHwc,total energy consumption hot water,,,,5800,,,energy4,,,total year electricity consumption hot water
r;w,,PrFuelSumHwc,total fuel consumption hot water,,,,5900,,,energy4,,,total year fuel consumption hot water
r;w,,PrEnergySum,total energy consumption,,,,5C00,,,energy4,,,total year electricity consumption
r;w,,PrFuelSum,total fuel consumption,,,,5D00,,,energy4,,,total year fuel consumption
r,,xUnknown60,"(constant 12, 0 in cooling mode)",,,,6000,,,SIN,,,
r,,xUnknown61,(constant 0),,,,6100,,,SIN,,,
r,,xUnknown65,(constant 0),,,,6500,,,SIN,,,
r;w,,xUnknown67,(VR70 konfig 1),,,,6700,,,tempv,,,
r;w,,xUnknown68,(VR70 konfig 1),,,,6800,,,tempv,,,
r;w,,MultiInputSetting,multifunction input configuration,,,,6A00,,,UIN,0=not connected;1=1x circulation;2=photovoltaics;3=Ext.Cooling,,
r;w,,Installer1,installer name 1,,,,6C00,,,STR:*,,,installer's name
r;w,,Installer2,installer name 2,,,,6D00,,,STR:*,,,installer's name
r;w,,PhoneNumber1,phone number 1,,,,6F00,,,STR:*,,,installer's telephone number
r;w,,PhoneNumber2,phone number 2,,,,7000,,,STR:*,,,installer's telephone number
r,,DisplayedOutsideTemp,outside temperature,,,,7300,,,tempv,,,outside temperature
r,,xUnknown75,(constant off),,,,7500,,,onoff,,,
r;w,,KeyCodeforConfigMenu,code for installer menu,,,,7600,,,UIN,,,000-999; code for the installer's menues
r,,xUnknown77,(constant on),,,,7700,,,onoff,,,
r,,xUnknown7E,(constant 0),,,,7E00,,,EXP,,,
r,,xUnknown80,(constant 0),,,,8000,,,EXP,,,
r;w,,xUnknown81,(constant 10),,,,8100,,,EXP,,,
r;w,,xUnknown85,(constant 0/inf),,,,8500,,,tempv,,,
r,,xUnknown86,(constant 60),,,,8600,,,SIN,,,
r,,xUnknown89,(constant 15),,,,8900,,,SIN,,,
r,,xUnknown8A,(constant 1),,,,8A00,,,EXP,,,
r,,xUnknown8B,(constant 55),,,,8B00,,,EXP,,,
r,,xUnknown8C,(constant off),,,,8C00,,,onoff,,,
r,,xUnknown8D,(constant 0),,,,8D00,,,SIN,,,
r,,xUnknown8E,(constant 0),,,,8E00,,,SIN,,,
r,,xUnknown8F,(constant 0),,,,8F00,,,SIN,,,
r;w,,OutsideTempAvg,average outside temperature,,,,9500,,,tempv,,,rounded average outsidetemperature (updated every 3h)
r,,MaintenanceDue,maintenance due,,,,9600,,,yesno,,,shows whether maintenance is due
r,,xUnknown97,(constant off),,,,9700,,,onoff,,,
r,,xUnknown98,(constant off),,,,9800,,,onoff,,,
r,,GreenIQ,,,,,9A00,,,onoff,,,Green IQ mode on thermostat
r,,xUnknown9B,(constant off),,,,9B00,,,onoff,,,
r,,HwcStorageTempTop,hwc storage temperature top,,,,9D00,,,tempv,,,temperature sensor HWC storage top
r,,HwcStorageTempBottom, storage temperature bottom,,,,9E00,,,tempv,,,temperature sensor HWC storage bottom
r,,HcStorageTempTop,hc storage temperature top,,,,9F00,,,tempv,,,temperature sensor HW storage top
r,,HcStorageTempBottom,hc storage temperature bottom,,,,A000,,,tempv,,,temperature sensor HW storage bottom
r,,xUnknownA1,(constant off),,,,A100,,,onoff,,,
r;w,,HwcCylinderOffset,Offset cylinder charge,,,,A200,,,calibrationv,,,Offset storage tank loading. Offset
r,,xUnknownA5,(konstant 0),,,,A500,,,EXP,,,
r,,xUnknownAB,(constant on),,,,AB00,,,onoff,,,
r,,xUnknownAF,(konstant 0),,,,AF00,,,EXP,,,
r,,xUnknownB0,(konstant 0),,,,B000,,,EXP,,,
r,,xUnknownB1,(konstant 0),,,,B100,,,EXP,,,
r,,xUnknownB2,(konstant 4543),,,,B200,,,HEX:*,,,
r,,xUnknownB3,(constant off),,,,B300,,,onoff,,,
r,,xUnknownB5,(constant on),,,,B500,,,onoff,,,
r,,xUnknownB6,(constant off),,,,B600,,,onoff,,,
r,,xUnknownB8,(constant off),,,,B800,,,onoff,,,
r,,xUnknownB9,(konstant 0),,,,B900,,,EXP,,,
r,,xUnknownBA,(konstant 0),,,,BA00,,,EXP,,,
r,,xUnknownBB,(konstant 0),,,,BB00,,,EXP,,,
r,,xUnknownBC,(konstant 0),,,,BC00,,,EXP,,,
r,,xUnknownBD,(konstant 0),,,,BD00,,,EXP,,,
r,,xUnknownBF,(konstant 0),,,,BF00,,,EXP,,,
r,,xUnknownC0,,,,,C000,,,HEX:*,,,
r,,xUnknownC1,,,,,C100,,,HEX:*,,,
r,,xUnknownC2,,,,,C200,,,HEX:*,,,
r,,xUnknownC3,,,,,C300,,,HEX:*,,,
r,,xUnknownC4,,,,,C400,,,HEX:*,,,
r,,xUnknownC5,,,,,C500,,,HEX:*,,,
r,,xUnknownC6,,,,,C600,,,HEX:*,,,
r,,xUnknownC7,,,,,C700,,,HEX:*,,,
r,,xUnknownC8,,,,,C800,,,HEX:*,,,
r,,xUnknownC9,,,,,C900,,,HEX:*,,,
r,,xUnknownCA,,,,,CA00,,,HEX:*,,,
r,,xUnknownCB,,,,,CB00,,,HEX:*,,,
r,,xUnknownCC,,,,,CC00,,,HEX:*,,,
r,,xUnknownCD,,,,,CD00,,,HEX:*,,,
r,,xUnknownCE,,,,,CE00,,,HEX:*,,,
r,,xUnknownCF,,,,,CF00,,,HEX:*,,,
r,,xUnknownD0,,,,,D000,,,HEX:*,,,
r,,xUnknownD1,,,,,D100,,,HEX:*,,,
r,,xUnknownD2,,,,,D200,,,HEX:*,,,
r,,xUnknownD3,,,,,D300,,,HEX:*,,,
r,,xUnknownD4,,,,,D400,,,HEX:*,,,
r,,xUnknownD5,,,,,D500,,,HEX:*,,,
r,,xUnknownD6,,,,,D600,,,HEX:*,,,
r,,xUnknownD7,,,,,D700,,,HEX:*,,,
r,,xUnknownD8,,,,,D800,,,HEX:*,,,
r,,xUnknownD9,,,,,D900,,,HEX:*,,,
r,,xUnknownDA,(konstant 01.01.2019),,,,DA00,,,date,,,
r,,xUnknownDB,(konstant 01.01.2019),,,,DB00,,,date,,,
r,,xUnknownDD,,,,,DD00,,,HEX:*,,,
r,,xUnknownDE,,,,,DE00,,,HEX:*,,,
r,,xUnknownDF,,,,,DF00,,,HEX:*,,,
r,,xUnknownE0,,,,,E000,,,HEX:*,,,
r,,xUnknownE3,,,,,E300,,,HEX:*,,,
r,,xUnknownE4,,,,,E400,,,HEX:*,,,
r,,xUnknownE5,,,,,E500,,,HEX:*,,,
r,,xUnknownE6,,,,,E600,,,HEX:*,,,
r,,xUnknownE7,,,,,E700,,,HEX:*,,,
r,,xUnknownE8,,,,,E800,,,HEX:*,,,
r,,xUnknownE9,,,,,E900,,,HEX:*,,,
r,,xUnknownEA,,,,,EA00,,,HEX:*,,,
r,,xUnknownEB,,,,,EB00,,,HEX:*,,,
r,,xUnknownEC,,,,,EC00,,,HEX:*,,,
r,,xUnknownED,,,,,ED00,,,HEX:*,,,
r,,xUnknownEE,,,,,EE00,,,HEX:*,,,
r,,xUnknownEF,(constant 20),,,,EF00,,,EXP,,,
r,,xUnknownF0,,,,,F000,,,HEX:*,,,
r,,xUnknownF1,,,,,F100,,,HEX:*,,,
r,,xUnknownF2,,,,,F200,,,HEX:*,,,
r,,xUnknownF3,,,,,F300,,,HEX:*,,,
r,,xUnknownF4,,,,,F400,,,HEX:*,,,
r,,xUnknownF5,,,,,F500,,,HEX:*,,,
r,,xUnknownF6,(constant 15),,,,F600,,,EXP,,,
r,,xUnknownF7,(constant 0),,,,F700,,,onoff,,,
r,,xUnknownF8,(constant 0),,,,F800,,,onoff,,,
r,,xUnknownF9,(constant 0),,,,F900,,,onoff,,,
r,,xUnknownFA,(constant 0),,,,FA00,,,onoff,,,
r,,xUnknownFB,(constant 10),,,,FB00,,,EXP,,,
r,,xUnknownFC,(constant 62),,,,FC00,,,EXP,,,
r,,xUnknownFE,(constant 13),,,,FE00,,,EXP,,,
r,,xUnknownFF,(constant 25),,,,FF00,,,EXP,,,
# ##### hot water circuit #####,,,,,,,,,,,,,
*r,,,,,,B524,02000100,,,IGN:4,,,
*w,,,,,,B524,02010100,,,,,,
r;w,,HwcEnabled,,,,,0100,,,yesno,,,Indicates if Hwc is enabled/disabled
r,,HwcCircPumpStatus,,,,,0200,,,onoff,,,Hwc circulation pump status (also turns on during a legionella run)
r;w,,HwcOpMode,HwcOpMode,,,,0300,,,opmode2,,,Planning mode of Hwc
r;w,,HwcTempDesired,Desired Temperature Warm Water Circuit,,,,0400,,,tempv,,,setpoint of domestic hot water circuit
r,,HwcStorageTemp,HwcStorageTemp,,,,0500,,,tempv,,,current hot water storage temperature
r,,HwcReheatingActive,,,,,0600,,,yesno,,,Indicates ongoing hot/legionella water run
r,,HwcUnknown07,(constant 0),,,,0700,,,onoff,,,
r,,HwcFlowTemp,HwcFlowTemp,,,,0800,,,tempv,,,desired flow temp for Hwc
r;w,,HwcHolidayStartDate,,,,,0900,,,hfrom,,,start date of holidays
r;w,,HwcHolidayEndDate,,,,,0A00,,,hto,,,end date of holidays
r;w,,HwcSFMode,HwcSFMode,,,,0D00,,,sfmode,,,valid are at least:auto/onedayaway/load
r,,HwcUnknown0E,(constant 1),,,,0E00,,,onoff,,,
r,,HwcStatus,,,,,0F00,,,zoneStatus,,,
r;w,,HwcHolidayStartTime,,,,,1000,,,HTI,,,
r;w,,HwcHolidayEndTime,,,,,1100,,,HTI,,,
r,,HwcUnknown12,(constant 0),,,,1200,,,onoff,,,
r,,HwcUnknown13,(constant 0),,,,1300,,,onoff,,,
# ##### heating circuit 1 #####,,,,,,,,,,,,,
*r,,,,,,B524,02000200,,,IGN:4,,,
*w,,,,,,B524,02010200,,,,,,
r;w,,Hc1Unknown00,,,,,0000,,,HEX:*,,,
r;w,,Hc1Unknown01,,,,,0100,,,HEX:*,,,
r,,Hc1CircuitType,CircuitType Heating Circuit 1,,,,0200,,,mctype;IGN:1,,,
r;w,,Hc1DesiredReturnTemp,target return temperature Hc1,,,,0400,,,tempv,,,temperature for the increase in return circuit (default 30)
r;w,,Hc1DewPointMonitoring,,,,,0500,,,onoff,,,Dew point monitoring enable/disable for Hc1
r;w,,Hc1CoolingEnabled,,,,,0600,,,onoff,,,Cooling function enable/disable for Hc1
r,,Hc1ActualFlowTempDesired,Actual Desired Flow Temperature Heating Circuit 1,,,,0700,,,tempv,,,current flow temperature setpoint of Hc1
r,,Hc1FlowTemp,Flow Temperature Heating Circuit 1,,,,0800,,,tempv,,,current flow temperature of Hc1
r;w,,Hc1ExtHwcTempDesired,Hc1 desired external HWC temperature,,,,0900,,,tempv,,,Hc1 desired external HWC temperature
r;w,,Hc1DewPointOffset,Hc1 Temperature offset from dew point,,,,0A00,,,tempv,,,Dew point temperature margin for Hc1
r;w,,Hc1ExcessTemp,ExcessTemp Heating Circuit 1,,,,0B00,,,calibrationv,,,excess temperature of Hc1 (flow temperature's setpoint is increased by this value to keep the mixing valve in its control range)
r;w,,Hc1DesiredTemp,Desired Temperature Heating Circuit 1,,,,0C00,,,tempv,,,
r;w,,Hc1DesiredSetbackTemp,,,,,0D00,,,tempv,,,target setback temperatur Hc1 (fixed circuit type)
r;w,,Hc1SetBackMode,,,,,0E00,,,offmode2,,,operation of Hc1 during the setback time
r;w,,Hc1HeatCurve,Heatcurve Heating Circuit 1,,,,0F00,,,EXP,,,heating curve of Hc1
r;w,,Hc1MaxHeatingFlowTempDesired,MaxFlowTempDesired Heating Circuit 1,,,,1000,,,tempv,,,maximum heating flow temperature setpoint (end emphasis) of Hc1
r;w,,Hc1MinCoolingFlowTempDesired,,,,,1100,,,tempv,,,minimum cooling flow temperature setpoint of Hc1 
r;w,,Hc1MinHeatingFlowTempDesired,MinFlowTempDesired Heating Circuit 1,,,,1200,,,tempv,,,minimum heating flow temperature setpoint (end emphasis) of Hc1
r;w,,Hc1ExtHwcOpMode,ExtHwcOpMode,,,,1300,,,opmode2,,,operation mode of external Hwc circuit
r;w,,Hc1SummerTempLimit,Switch off temperature threshold Heating Circuit 1,,,,1400,,,tempv,,,if outside temperature > summer limit => heating is OFF;applies to comfort and night setback setpoint
r;w,,Hc1RoomTempMod,,,,,1500,,,rcmode2,,,room temperature modulation of Hc1
r;w,,Hc1ScreedDryingDay,,,,,1600,,,UIN,,,current day of screed Hc1 drying schedule (1 to 29 0=screed drying off) 
